contest,handle,finding,risk,score,pie,split,slice,award,awardCoin,awardUSD
3,gpersoon,H-09,3,,10,1,10,2616.088947,USDC,2616.09
3,gpersoon,L-03,1,,1,1,1,261.6088947,USDC,261.61
3,gpersoon,L-04,1,,1,1,1,261.6088947,USDC,261.61
3,gpersoon,L-05,1,,1,1,1,261.6088947,USDC,261.61
3,gpersoon,L-06,1,,1,1,1,261.6088947,USDC,261.61
3,gpersoon,M-03,2,,3,1,3,784.8266841,USDC,784.83
3,gpersoon,M-04,2,,3,1,3,784.8266841,USDC,784.83
3,gpersoon,M-05,2,,3,1,3,784.8266841,USDC,784.83
3,gpersoon,N-03,0,,1,1,1,0,USDC,0
3,gpersoon,N-04,0,,0.9,2,0.45,0,USDC,0
3,gpersoon,N-05,0,,1,1,1,0,USDC,0
3,gpersoon,N-06,0,,1,1,1,0,USDC,0
3,gpersoon,N-07,0,,1,1,1,0,USDC,0
3,gpersoon,N-08,0,,1,1,1,0,USDC,0
3,s1m0,H-11,3,,10,1,10,2616.088947,USDC,2616.09
3,s1m0,L-09,1,,0.9,2,0.45,117.7240026,USDC,117.72
3,s1m0,L-12,1,,1,1,1,261.6088947,USDC,261.61
3,s1m0,L-13,1,,1,1,1,261.6088947,USDC,261.61
3,s1m0,M-10,2,,3,1,3,784.8266841,USDC,784.83
3,jvaqa,L-07,1,,1,1,1,261.6088947,USDC,261.61
3,jvaqa,L-08,1,,1,1,1,261.6088947,USDC,261.61
3,jvaqa,M-06,2,,3,1,3,784.8266841,USDC,784.83
3,jvaqa,N-04,0,,0.9,2,0.45,0,USDC,0
3,jvaqa,N-09,0,,1,1,1,0,USDC,0
4,JMukesh,G-01,g,,0.9,2,0.45,775.862069,USDC,775.86
4,JMukesh,N-02,0,,1,1,1,0,USDC,0
4,JMukesh,N-03,0,,1,1,1,0,USDC,0
4,JMukesh,N-04,0,,0.59049,6,0.098415,0,USDC,0
4,a_delamo,G-02,g,,1,1,1,1724.137931,USDC,1724.14
4,a_delamo,G-03,g,,1,1,1,1724.137931,USDC,1724.14
4,a_delamo,N-18,0,,1,1,1,0,USDC,0
4,a_delamo,N-20,0,,1,1,1,0,USDC,0
4,a_delamo,N-21,0,,1,1,1,0,USDC,0
4,0xsomeone,L-01,1,,1,1,1,3711.790393,USDC,3711.79
4,0xsomeone,M-01,2,,3,1,3,11135.37118,USDC,11135.37
4,0xRajeev,L-02,1,,0.9,2,0.45,1670.305677,USDC,1670.31
4,0xRajeev,L-03,1,,1,1,1,3711.790393,USDC,3711.79
4,0xRajeev,N-09,0,,0.4782969,8,0.0597871125,0,USDC,0
4,0xRajeev,N-10,0,,0.9,2,0.45,0,USDC,0
4,0xRajeev,N-11,0,,0.81,3,0.27,0,USDC,0
4,0xRajeev,N-12,0,,0.81,3,0.27,0,USDC,0
4,0xRajeev,N-13,0,,0.531441,7,0.07592014286,0,USDC,0
4,0xRajeev,N-14,0,,0.9,2,0.45,0,USDC,0
4,0xRajeev,N-15,0,,0.6561,5,0.13122,0,USDC,0
4,0xRajeev,N-16,0,,0.81,3,0.27,0,USDC,0
4,0xRajeev,N-19,0,,1,1,1,0,USDC,0
4,0xRajeev,N-26,0,,1,1,1,0,USDC,0
4,0xRajeev,N-27,0,,1,1,1,0,USDC,0
4,0xRajeev,N-09,0,,0.4782969,8,0.0597871125,0,USDC,0
4,0xRajeev,N-09,0,,0.4782969,8,0.0597871125,0,USDC,0
4,0xRajeev,N-09,0,,0.4782969,8,0.0597871125,0,USDC,0
4,0xRajeev,N-09,0,,0.4782969,8,0.0597871125,0,USDC,0
4,0xRajeev,N-04,0,,0.59049,6,0.098415,0,USDC,0
4,0xRajeev,N-09,0,,0.4782969,8,0.0597871125,0,USDC,0
4,0xRajeev,N-09,0,,0.4782969,8,0.0597871125,0,USDC,0
4,0xRajeev,N-11,0,,0.81,3,0.27,0,USDC,0
4,0xRajeev,N-12,0,,0.81,3,0.27,0,USDC,0
4,0xRajeev,N-12,0,,0.81,3,0.27,0,USDC,0
4,0xRajeev,N-13,0,,0.531441,7,0.07592014286,0,USDC,0
4,0xRajeev,N-04,0,,0.59049,6,0.098415,0,USDC,0
4,0xRajeev,N-04,0,,0.59049,6,0.098415,0,USDC,0
4,0xRajeev,N-04,0,,0.59049,6,0.098415,0,USDC,0
4,0xRajeev,N-04,0,,0.59049,6,0.098415,0,USDC,0
4,0xRajeev,N-14,0,,0.9,2,0.45,0,USDC,0
